JobTitle,isSaved,MinimumExperience,MaximumExperience,MinSalary,MaxSalary,CreationDate,Description,EmployeeType,IndustryType,Location,MinimumQualification,Promote,Specialization,JobStatus,VisitorCount,job_url,SkillsRequired,ScreeningQuestions,job_recruiter_recruiter_id
Data Engineer,no,0,2,5,7,5/1/2025,"<h4 style=""color: red;"">About the Job</h4>
<ul>
  <li>Good Python, PySpark programming & scripting skills.</li>
  <li>Azure Databricks with PySpark.</li>
  <li>Azure ADF, EventHub.</li>
  <li>Snowflake SQL/ alert configuration.</li>
  <li>Denodo VQL and CI CD knowledge.</li>
  <li>Azure Function app and Gen AI orchestrator (development - Python FastAPI/ containerised deployment on Azure web app services).</li>
  <li>Ability to write complex SQL queries.</li>
  <li>Hands-on experience in building Data Pipelines (data ingestion, data transformation, data curation).</li>
  <li>Experience with Agile development practices.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,Python,,20460
Fullstack Developer,no,0,2,1.8,2.5,5/1/2025,"<h4 style=""color: red;"">About the Job</h4>
<ul>
  <li>2 to 3 yrs of experience working as a full stack Java developer.</li>
  <li>Experience in web development with AngularJS.</li>
  <li>Experience working with RDBMS such as Oracle, SQL Server, PostgreSQL.</li>
  <li>Experience in SOAP/RESTful web services.</li>
  <li>JavaScript, CSS, HTML, JSON, JQuery, AngularJS.</li>
  <li>Skills:- Javascript, AngularJS (1.x) and Java.</li>
</ul>
",Full Time,IT,Chennai,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, JavaScript",,20461
Fullstack Engineer (MERN),no,0,2,3.2,4,5/1/2025,"<h4 style=""color: red;"">Responsibilities</h4>
<ul>
  <li>Develop responsive web interfaces using React.js, HTML5, and CSS3.</li>
  <li>Build and maintain backend services using Node.js, Express.js, or related frameworks.</li>
  <li>Collaborate with UX/UI designers and other developers to translate designs into functional components.</li>
  <li>Write clean, scalable, and maintainable code.</li>
  <li>Integrate RESTful APIs and third-party services.</li>
  <li>Assist in troubleshooting, debugging, and improving existing applications.</li>
  <li>Participate in code reviews, agile ceremonies, and sprint planning sessions.</li>
  <li>Keep up-to-date with industry trends and emerging technologies.</li>
</ul>

<h4 style=""color: red;"">Required Skills & Qualifications</h4>
<ul>
  <li>Bachelor's degree in Computer Science, Engineering, or related field.</li>
  <li>0-2 years of hands-on experience in full stack development.</li>
  <li>Proficiency with React.js and frontend technologies (JavaScript, HTML, CSS).</li>
  <li>Understanding of Node.js, Express.js, or similar backend frameworks.</li>
  <li>Familiarity with MongoDB, MySQL, or other databases.</li>
  <li>Knowledge of version control tools like Git.</li>
  <li>Basic understanding of REST APIs and integration concepts.</li>
  <li>Strong problem-solving skills and attention to detail.</li>
  <li>Good communication and teamwork abilities.</li>
</ul>

<h4 style=""color: red;"">Nice To Have</h4>
<ul>
  <li>Exposure to cloud platforms like AWS, Azure, or GCP.</li>
  <li>Experience with Docker, CI/CD pipelines.</li>
  <li>Familiarity with TypeScript and testing frameworks (Jest, Mocha, etc.).</li>
</ul>
<h4 style=""color: red;"">Skills</h4>
<p>express.js, react, rest apis, node.js, css3, mongodb, javascript, react.js, mysql, full stack development, html5, git</p>
",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"CSS, MongoDB, JavaScript",,20462
Frontend Developer,no,0,2,3.5,4.2,5/1/2025,"<h4 style=""color: red;"">About the Job</h4>

<h4 style=""color: red;"">Key Responsibilities</h4>
<ul>
  <li>Develop and maintain complex layouts using HTML5 and CSS3, ensuring proficiency in these technologies.</li>
  <li>Utilize ES6+ features and asynchronous programming in JavaScript to build robust applications.</li>
  <li>Build and maintain components and services in Angular and TypeScript, leveraging strong experience in these areas.</li>
  <li>Create responsive layouts using frameworks like Bootstrap or Material Design, demonstrating familiarity with these frameworks.</li>
  <li>Use Git for version control and collaboration with team members, showcasing experience with version control systems.</li>
  <li>Configure and manage web servers, including IIS, with knowledge of web server configuration and management.</li>
  <li>Integrate and consume RESTful APIs and handle data fetching, highlighting the ability to work with APIs.</li>
  <li>Manage file uploads, downloads, and basic file system operations, demonstrating experience with file handling operations.</li>
  <li>Implement authentication and authorization using OAuth, JWT, and session management, with knowledge of these mechanisms.</li>
  <li>Utilize advanced debugging tools and techniques to troubleshoot and optimize applications, showcasing proficiency in debugging and performance optimization.</li>
  <li>Implement performance optimization techniques to enhance application efficiency.</li>
  <li>Ensure web security best practices are followed, with an understanding of web security principles.</li>
  <li>Leverage various JavaScript libraries to enhance functionality, demonstrating familiarity with these libraries.</li>
  <li>Experience with NgRx (for Angular) or other state management libraries to manage complex application states.</li>
  <li>Proficiency with testing frameworks like Jasmine, Karma, Jest, or Cypress for automated testing.</li>
  <li>Proficient in using IDEs like Visual Studio Code, WebStorm, or Visual Studio.</li>
  <li>Desirable: Experience with implementing CI/CD pipelines using tools like Jenkins, GitLab CI, or GitHub Actions.</li>
</ul>

<h4 style=""color: red;"">Qualifications</h4>
<ul>
  <li>3+ years of experience in software development.</li>
  <li>Bachelor's degree in Computer Science, Engineering, or a related field.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, Angular, TypeScript",,20463
"Software Engineer, Apps",no,0,2,7,10,5/1/2025,"<h4 style=""color: red;"">About the Job</h4>

<h4 style=""color: red;""> The Role</h4>
<p>We're looking for a Software Engineer - Apps to join our team at Headout. You'll work closely with product managers, designers, and data teams to build and improve features on our mobile app. If you're excited to learn, collaborate, and build products used by thousands of users globally, this is the perfect opportunity for you.</p>

<h4 style=""color: red;""> What Makes This Role Special?</h4>
<ul>
  <li>Build end-to-end features that directly impact thousands of users.</li>
  <li>Build cutting-edge mobile experiences with a modern tech stack — React Native, TypeScript, and native iOS/Android integrations, combining the best of cross-platform agility with native performance.</li>
  <li>Be part of a team where you'll gain exposure to the full engineering lifecycle — from system design decisions to refining user experience and app speed.</li>
  <li>Learn from experienced engineers and grow into a senior role over time.</li>
  <li>Be part of a fast-growing product used by a global audience.</li>
</ul>

<h4 style=""color: red;""> What Skills & Experience Do You Need?</h4>
<ul>
  <li>6+ months of experience building mobile apps, ideally using React Native.</li>
  <li>Good working knowledge of JavaScript/TypeScript.</li>
  <li>Familiarity with app architectures and platform-specific guidelines.</li>
  <li>Exposure to native development (iOS or Android) and native module integration.</li>
  <li>Understanding of state management libraries (like Jotai or similar).</li>
  <li>Basic understanding of responsive UI and app performance optimization.</li>
  <li>Familiarity with offline-first storage techniques (e.g., local storage).</li>
  <li>Curiosity, willingness to learn, and strong collaboration skills.</li>
</ul>

<h4 style=""color: red;""> Bonus</h4>
<ul>
  <li>Hands-on experience with iOS or Android native development.</li>
  <li>Contributions to open-source projects or personal side projects.</li>
  <li>Ability to take ownership of small features and deliver independently.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://job-boards.greenhouse.io/headoutcareers/jobs/4563784006?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,"HTML, CSS, JavaScript",,20464
Software Engineer (React) ,no,0,2,4.5,8.3,5/1/2025,"<h4 style=""color: red;"">About the Job</h4>
<p>The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code.</p>

<h4 style=""color: red;"">Responsibilities</h4>
<ul>
  <li>Develop quality software and web applications</li>
  <li>Analyze and maintain existing software applications</li>
  <li>Design highly scalable, testable code</li>
  <li>Discover and fix programming bugs</li>
</ul>

<h4 style=""color: red;"">Qualifications</h4>
<ul>
  <li>Bachelor's degree or equivalent experience in Computer Science or related field</li>
  <li>Development experience with programming languages</li>
  <li>SQL database or relational database skills</li>
</ul>
",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,SQL,,20465
SDET 1,no,0,2,4.5,5.2,5/1/2025,"<h4 style=""color: red;"">Hard Skills</h4>
<ul>
  <li>1 - 3 years of experience in Software Testing.</li>
  <li>1+ years of experience in Appium.</li>
  <li>1+ years of experience in API Testing.</li>
  <li>Good exposure in writing Appium script for Android, iOS hybrid apps and Rest Assured/Karate for API's.</li>
  <li>Experience working on Java programming language.</li>
  <li>Experience in working with Page Object Model design pattern.</li>
  <li>Experience working on TestNG, Maven, BitBucket, Git and Jenkins.</li>
  <li>Experience in Android adb and iOS commands.</li>
  <li>Sound understanding of Agile and SDLC methodologies.</li>
  <li>Experience in working with Any IDE tools such as Eclipse or IntelliJ IDEA.</li>
  <li>Familiar with the Postman tool.</li>
</ul>

<h4 style=""color: red;"">Good to Have</h4>
<ul>
  <li>Experience in automating Web applications using Selenium.</li>
  <li>Integration of automation suites with Cloud service providers such as Browserstack, AWS Farm.</li>
  <li>Knowledge of blockchain technology, smart contracts and cryptocurrency will be an added advantage.</li>
  <li>Working in a growing start-up environment.</li>
  <li>Experience in the fintech domain will be another added advantage.</li>
  <li>Knowledge of Shell scripting.</li>
</ul>

<h4 style=""color: red;"">You Will Be Mining Through These Tasks</h4>
<ul>
  <li>Develop automated test scripts to maximize efficiency using In house Appium Framework (App Automation) or Karate or Rest Assured Framework (API Automation).</li>
  <li>Writing and debugging automated tests script for new features and maintaining existing test scripts.</li>
  <li>Maintain various reports to track Mobile and API automation coverage for projects and present Weekly Status report to Stakeholders.</li>
  <li>Understand the Product and review Test cases with the Manual Testing team to automate.</li>
</ul>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://careers.coindcx.com/opportunities/jd?utm_source=bitlabs-jobs-app&utm_medium=wbs-bj&utm_campaign=sup-bj-web,Java,,20466
Frontend Engineer,no,0,2,3.2,4.1,5/2/2025,"<h4 style=""color: red;"">Responsibilities</h4>
<ul>
  <li>Collaborate with the design and development teams to translate UI/UX designs into interactive web pages or applications.</li>
  <li>Develop responsive web interfaces and ensure cross-browser compatibility.</li>
  <li>Write clean, modular, and maintainable code using best practices and coding standards.</li>
  <li>Optimize application performance and ensure scalability.</li>
  <li>Conduct thorough testing and debugging to identify and fix issues.</li>
  <li>Collaborate with backend developers to integrate frontend interfaces with server-side logic.</li>
  <li>Stay up-to-date with the latest front-end technologies, trends, and frameworks.</li>
  <li>Participate in code reviews and provide constructive feedback to improve code quality.</li>
  <li>Work closely with stakeholders to understand requirements and propose effective technical solutions.</li>
</ul>

<h4 style=""color: red;"">Qualifications</h4>
<ul>
  <li>Bachelor's degree in Computer Science, Engineering, or a related field.</li>
  <li>Minimum 1.5 Years Of Experience As a Frontend Developer.</li>
  <li>Strong proficiency in React, JavaScript, CSS, and HTML.</li>
  <li>Solid understanding of frontend architecture design patterns and concepts.</li>
  <li>Experience with frontend frameworks like Redux, Vue.js, or Angular is a plus.</li>
  <li>Familiarity with RESTful APIs and asynchronous request handling.</li>
  <li>Knowledge of version control systems (e.g., Git) and project management tools (e.g., Jira).</li>
  <li>Ability to collaborate effectively with cross-functional teams.</li>
  <li>Strong problem-solving skills and attention to detail.</li>
  <li>Excellent communication and interpersonal skills.</li>
</ul>

<h4 style=""color: red;"">Skills</h4>
<p>Javascript, React.js and HTML/CSS</p>
",Full Time,IT,Bangalore,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"HTML, CSS, React, JavaScript",,20467
Full Stack Engineer ,no,0,2,2.5,3.2,5/2/2025,"<h4 style=""color: red;"">Position Summary</h4>
<p>
We are seeking a highly skilled Full Stack Engineer to join our growing technology team. In this role, you will be responsible for developing and maintaining dynamic, scalable web applications that enhance the user experience and meet the business needs of our clients. The ideal candidate is a problem solver with a passion for technology and a strong understanding of both front-end and back-end development.
</p>

<h4 style=""color: red;"">Key Responsibilities</h4>
<ul>
  <li>Design, develop, and maintain web applications using modern web frameworks and tools.</li>
  <li>Collaborate with product managers, designers, and other engineers to deliver robust, scalable solutions.</li>
  <li>Build efficient, reusable, and scalable front-end components using HTML, CSS, and JavaScript (React, Angular, or Vue.js).</li>
  <li>Develop and optimize server-side logic and APIs using Node.js, Python, Ruby, or similar back-end technologies.</li>
  <li>Integrate third-party APIs and services, ensuring data flows securely and efficiently between platforms.</li>
  <li>Write clean, well-documented, and maintainable code with an emphasis on performance and security.</li>
  <li>Conduct thorough testing (unit, integration, and end-to-end) to ensure product quality.</li>
  <li>Participate in code reviews, ensuring adherence to best practices and high-quality standards.</li>
  <li>Troubleshoot, debug, and improve existing applications and workflows.</li>
  <li>Stay up-to-date with industry trends, technologies, and best practices.</li>
</ul>

<h4 style=""color: red;"">Key Requirements</h4>
<ul>
  <li>3+ years of experience as a Full Stack Engineer or in a similar role.</li>
  <li>Proficiency in JavaScript/TypeScript and modern front-end frameworks (e.g., React, Angular, Vue.js).</li>
  <li>Strong experience with back-end development using Node.js, Python, Ruby, or a similar language.</li>
  <li>Experience with SQL and NoSQL databases (e.g., MySQL, PostgreSQL, MongoDB).</li>
  <li>Familiarity with cloud platforms such as AWS, Azure, or Google Cloud.</li>
  <li>Proficiency in version control systems, such as Git.</li>
  <li>Experience with containerization and orchestration tools like <strong>Docker</strong> and Kubernetes is a plus.</li>
  <li>Familiarity with CI/CD pipelines and automated testing.</li>
  <li>Strong understanding of RESTful API design and implementation.</li>
  <li>Excellent problem-solving and troubleshooting skills.</li>
  <li>Strong communication and teamwork abilities.</li>
</ul>

<h4 style=""color: red;"">Preferred Qualifications</h4>
<ul>
  <li>Experience with microservices architecture.</li>
  <li>Knowledge of GraphQL and WebSockets.</li>
  <li>Familiarity with DevOps practices and infrastructure as code (e.g., Terraform, Ansible).</li>
  <li>Experience in Agile or Scrum methodologies.</li>
</ul>
",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"SQL, Python, MongoDB, JavaScript",,20468
Full Stack Engineer ,no,0,2,5,7,5/2/2025,"<h4 style=""color: red;"">Core Responsibilities</h4>
<p>
We are looking for strong full-stack engineers across multiple levels to join our team and help us build innovative web applications and cloud services that deliver the power of generative AI to our customers.
</p>
<ul>
  <li>Own the delivery of key product and technology initiatives across design, specification, development, testing and launch.</li>
  <li>Deliver high-quality software that can be easily read and leveraged by others.</li>
  <li>Collaborate with designers, product managers, marketing, and other engineers.</li>
  <li>Investigate, prototype, and deliver innovative solutions throughout the stack.</li>
  <li>Define and drive adoption of best practices for building modern web applications and cloud services.</li>
</ul>

<h4 style=""color: red;"">Minimum Qualifications</h4>
<ul>
  <li>B.Tech. in computer science or a related field.</li>
  <li>2-4 years of experience in full-stack development.</li>
  <li>Demonstrated experience with the following: JavaScript frameworks (Spring/Spring Boot), Java, Python, Node.js, React.js.</li>
  <li>Demonstrated experience developing on a major cloud platform (AWS, Azure, GCP).</li>
</ul>

<h4 style=""color: red;"">Preferred Qualifications</h4>
<ul>
  <li>Strong experience with database systems (relational or NoSQL) and pub/sub systems (Kafka, AWS SNS, Azure EventHub).</li>
  <li>Experience building AI and ML applications and using LLM APIs.</li>
  <li>Any AI, data science, or ML experience will be highly valued.</li>
  <li>Experience building data analytics services.</li>
  <li>Experience optimizing performance across the entire stack.</li>
  <li>Experience working at a high-growth startup or tech company.</li>
  <li>Engineering degrees from top universities (IITs, BITS, NITs) preferred.</li>
</ul>

<h4 style=""color: red;"">Benefits</h4>
<ul>
  <li>Competitive salaries and equity.</li>
  <li>Comprehensive benefits package (medical, dental, vision).</li>
  <li>Opportunities for professional growth and development.</li>
</ul>
",Full Time,IT,Hyderabad,B.tech,No,CSE,Active,0,https://www.bitlabs.in/jobs,"Java, Python, React, JavaScript",,20469
